Well	ID	plate	A260	A280	conc_corr_Fact	stock_nmoles	obs_source_MW	exp_conc	obs_conc	corr_obs_conc	exp_molarity	obs_molarity	delta_molarity	source_obs_molarity	dilution_factor_for_100uM	TSO_vol_for_100uM	H20_vol_for_100uM	TSO_vol_for_100uM_2	H2O_vol_for_100uM_2
E5	53	1	0.001	0.0166666666666667	31.7083333333333	55	13947.7	1394.77	0.0508716666666667	0.0322611152777778	100	0.00231300610694077	99.9976869938931	0.0231300610694077	0.000231300610694077	86467.5624503751	-86447.5624503751	3	-2.99930609816792
E6	54	1	-0.000666666666666667	0.009	32.05	46	14006.4	1400.64	-0.0336633333333333	-0.0215781966666666	100	-0.00154059548968091	100.00154059549	-0.0154059548968091	-0.000154059548968091	-129819.930890116	129839.930890116	3	-3.0004621786469
E7	55	1	31.5883333333333	16.4243333333333	31.85	45	14036.2	1403.62	1579.66666666667	1006.24766666667	100	71.6894648599098	28.3105351400902	716.894648599098	7.16894648599098	2.78981019583317	17.2101898041668	3	18.506839457973
E8	56	1	0.000333333333333333	0.013	30.3888888888889	39	14004.5	1400.45	0.0260266666666667	0.0158184296296296	100	0.00112952476915489	99.9988704752308	0.0112952476915489	0.000112952476915489	177065.61685198	-177045.61685198	3	-2.99966114256925
E9	57	1	44.59	24.4326666666667	31.2692307692308	58	14020.8	1402.08	2229.33333333333	1394.19076923077	100	99.4373194989423	0.562680501057741	994.373194989423	9.94373194989423	2.01131729020639	17.9886827097936	3	26.8311958496827
E10	58	1	33.0206666666667	18.4783333333333	31.1111111111111	80	14030.7	1403.07	1651	1027.28888888889	100	73.2172228676323	26.7827771323677	732.172228676323	7.32172228676323	2.73159773297569	17.2684022670243	3	18.9651668602897
E11	59	1	33.1696666666667	18.7096666666667	31.675	91	13996	1399.6	1658.33333333333	1050.55416666667	100	75.0610293417167	24.9389706582833	750.610293417167	7.50610293417167	2.66449849880817	17.3355015011918	3	19.518308802515
E12	60	1	33.5263333333333	19.1113333333333	31.5945945945946	84	13955.2	1395.52	1676	1059.05081081081	100	75.8893323500065	24.1106676499935	758.893323500065	7.58893323500065	2.63541651779972	17.3645834822003	3	19.766799705002
F1	61	1	31.023	17.3626666666667	31.0952380952381	93	14005.5	1400.55	1551.33333333333	964.781587301587	100	68.8859082004632	31.1140917995368	688.859082004632	6.88859082004632	2.90335142882903	17.096648571171	3	17.665772460139
F2	62	1	27.8763333333333	15.6303333333333	31.5263157894737	86	13984.2	1398.42	1393.66666666667	878.74350877193	100	62.8383110061305	37.1616889938695	628.383110061305	6.28383110061305	3.18277173268531	16.8172282673147	3	15.8514933018391
F3	63	1	40.374	21.931	31.3157894736842	85	14045.6	1404.56	2018.66666666667	1264.32280701754	100	90.0155783318295	9.98442166817053	900.155783318295	9.00155783318295	2.22183763862216	17.7781623613778	3	24.0046734995488
F4	64	1	26.544	15.186	31.6428571428571	95	13964.9	1396.49	1327.33333333333	840.012380952381	100	60.1516932417977	39.8483067582023	601.516932417977	6.01516932417977	3.32492718361294	16.6750728163871	3	15.0455079725393
F5	65	1	29.271	16.5296666666667	32.0277777777778	83	13996	1399.6	1463.33333333333	937.346296296296	100	66.9724418616959	33.0275581383041	669.724418616959	6.69724418616959	2.98630293954367	17.0136970604563	3	17.0917325585088
F6	66	1	30.9646666666667	17.2963333333333	31.5	77	13963.7	1396.37	1548.33333333333	975.45	100	69.8561269577547	30.1438730422453	698.561269577547	6.98561269577547	2.86302732072377	17.1369726792762	3	17.9568380873264
F7	67	1	27.1906666666667	15.5663333333333	31.2619047619048	94	13956.4	1395.64	1359.33333333333	849.906984126984	100	60.8972932938999	39.1027067061001	608.972932938999	6.08972932938999	3.28421821697015	16.7157817830299	3	15.26918798817
